"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Bers M.U.; Sullivan A.","Bers, Marina Umaschi (57203655429); Sullivan, Amanda (55214724100)","57203655429; 55214724100","Computer science education in early childhood: The case of scratchjr","2019","Journal of Information Technology Education: Innovations in Practice","18","","4437","","","","22","10.28945/443710.28945/4437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084244371&doi=10.28945%2f443710.28945%2f4437&partnerID=40&md5=7c59301f62a9ad5f7c99d2fdf1086463","The DevTech Research Group, Tufts University, Medford, MA, United States","Bers M.U., The DevTech Research Group, Tufts University, Medford, MA, United States; Sullivan A., The DevTech Research Group, Tufts University, Medford, MA, United States","Aim/Purpose This paper aims to explore whether having state Computer Science standards in place will increase young children's exposure to coding and powerful ideas from computer science in the early years. Background Computer science education in the K-2 educational segment is receiving a growing amount of attention as national and state educational frameworks are emerging. By focusing on the app ScratchJr, the most popular free introductory block-based programming language for early childhood, this paper explores if there is a relationship between the presence of state frameworks and ScratchJr's frequency of use. Methodology This paper analyzes quantitative non-identifying data from Google Analytics on users of the ScratchJr programming app. Google Analytics is a free tool that allows access to user activity as it happens in real time on the app, as well as au-dience demographics and behavior. An analysis of trends by state, time of year, type of in-app activities completed, and more are analyzed with a specific focus on comparing states with K-12 Computer Science in place versus those without. Contribution Results demonstrate the importance of having state standards in place to in-crease young children's exposure to coding and powerful ideas from computer science in the early years. Moreover, we see preliminary evidence that states with Computer Science standards in place support skills like perseverance and de-bugging through ScratchJr. Findings Findings show that in the case of ScratchJr, app usage decreases during the summer months and on weekends, which may indicate that coding with ScratchJr is more often happening in school than at home. Results also show that states with Computer Science standards have more ScratchJr users on aver-The Case of ScratchJr 114 age and have more total sessions with the app on average. Results also show preliminary evidence that states with Computer Science standards in place have longer average session duration as well as a higher average number of users re-turning to edit an existing project. Recommendations for Practitioners Successful early childhood computer science education programs must teach powerful ideas from the discipline of computer science in a developmentally appropriate way, provide means for self-expression, prompt debugging and problem solving, and offer a low-floor/high-ceiling interface for both novices and experts. Practitioners should be aware in drops in computer science learn-ing during the summer months when school is not in session. Recommendation for Researchers Researchers should consider the impact of state and national frameworks on computer science learning and skills mastered during the early childhood years. Researchers should look for ways to continue engaging students in computer science education during times when school is not in session. Impact on Society Results demonstrate the importance of having state CS standards in place to increase young children's exposure to coding and powerful ideas from computer science in the early years. Moreover, we see preliminary evidence that states with Computer Science standards in place support skills like perseverance and de-bugging through ScratchJr. Future Research Future research should continue collecting Google Analytics from the ScratchJr app and track changes in usage. Future research should also collect analytics from a wide range of programming applications for young children to see if the trends identified here are consistent across different apps. © 2020 Informing Science Institute.","Coding; Computer science; Early childhood; Frameworks; Policies; STEM","Article","Final","","Scopus","2-s2.0-85084244371"
"Dinov I.D.","Dinov, Ivo D. (6603200380)","6603200380","Quant data science meets dexterous artistry","2019","International Journal of Data Science and Analytics","7","2","","81","86","5","5","10.1007/s41060-018-0138-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088166888&doi=10.1007%2fs41060-018-0138-6&partnerID=40&md5=51a2fc973681dbb770522eda3ab6e41a","Statistics Online Computational Resource, Department of Health Behavior and Biological Sciences, University of Michigan, 426 N. Ingalls Str., Ann Arbor, 48109, MI, United States; Department of Computational Medicine and Bioinformatics, University of Michigan, 426 N. Ingalls Str., Ann Arbor, 48109, MI, United States; Michigan Institute for Data Science, University of Michigan, 426 N. Ingalls Str., Ann Arbor, 48109, MI, United States","Dinov I.D., Statistics Online Computational Resource, Department of Health Behavior and Biological Sciences, University of Michigan, 426 N. Ingalls Str., Ann Arbor, 48109, MI, United States, Department of Computational Medicine and Bioinformatics, University of Michigan, 426 N. Ingalls Str., Ann Arbor, 48109, MI, United States, Michigan Institute for Data Science, University of Michigan, 426 N. Ingalls Str., Ann Arbor, 48109, MI, United States","Data science is a bridge discipline connecting fundamental science, applied disciplines, and the arts. The demand for novel data science methods is well established. However, there is much less agreement on the core aspects of representation, modeling, and analytics that involve huge and heterogeneous datasets. The scientific community needs to build consensus about data science education and training curricula, including the necessary entry matriculation prerequisites and the expected learning competency outcomes needed to tackle complex Big Data challenges. To meet the rapidly increasing demand for effective evidence-based practice and data analytic methods, research teams, funding agencies, academic institutions, politicians, and industry leaders should embrace innovation, promote high-risk projects, join forces to expand the technological capacity, and enhance the workforce skills. © 2018, Springer International Publishing AG, part of Springer Nature.","Artistry; Big data; Data science; Predictive analytics; Qualitative and quantitative skills","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85088166888"
"Jones K.M.L.; Afnan T.","Jones, Kyle M. L. (56259078200); Afnan, Tanisha (57212102581)","56259078200; 57212102581","“For the benefit of all students”: Student trust in higher education learning analytics practices","2019","Proceedings of the Association for Information Science and Technology","56","1","","682","683","1","0","10.1002/pra2.132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075931885&doi=10.1002%2fpra2.132&partnerID=40&md5=e53c63c03c2e25f4c9a8e760eef3090a","School of Informatics and Computing, Indiana University-Indianapolis (IUPUI), Indianapolis, IN, United States","Jones K.M.L., School of Informatics and Computing, Indiana University-Indianapolis (IUPUI), Indianapolis, IN, United States; Afnan T., School of Informatics and Computing, Indiana University-Indianapolis (IUPUI), Indianapolis, IN, United States","Learning analytics is a sociotechnical practice that seeks new insights from mining and analyzing student data. As new flows of student data emerge and granular information about student life becomes more accessible, there is a growing call to address student privacy and related issues. This poster reports emerging results from over 100 interviews with undergraduate students regarding their privacy perceptions especially with regard to trust. Author(s) retain copyright, but ASIS&T receives an exclusive publication license","Higher education; learning analytics; student privacy; trust","Article","Final","","Scopus","2-s2.0-85075931885"
"Attaran M.; Stark J.; Stotler D.","Attaran, Mohsen (7003850699); Stark, John (57202003887); Stotler, Derek (57202013206)","7003850699; 57202003887; 57202013206","Opportunities and challenges for big data analytics in US higher education: A conceptual model for implementation","2018","Industry and Higher Education","32","3","","169","182","13","36","10.1177/0950422218770937","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046730972&doi=10.1177%2f0950422218770937&partnerID=40&md5=e6e9119eb94589273ca1a83cf2236295","California State University, United States","Attaran M., California State University, United States; Stark J., California State University, United States; Stotler D., California State University, United States","Business leaders around the world are using emerging technologies to capitalize on data, to create business value and to compete effectively in a digitally driven world. They rely on data analytics to accelerate time to insight and to gain a better understanding of their customers’ needs and wants. However, big data and data analytics solutions in higher education are new topics. There has been limited progress in accumulating the extremely rich data that flow through higher education systems for the purpose of acquiring usable information for students, instructors, administrators and the public. The key objective of this article is to propose a conceptual model for the successful implementation of analytics in higher education. The article also examines some of the potential benefits of big data and analytics as applied to the world of higher education and explores implementation challenges that can be expected. Furthermore, the study reviews key attributes of successful analytics platforms and illustrates some of the routes that might be taken to implement these technologies in education. Finally, it highlights the successful implementation of analytics solutions in several universities. © 2018, The Author(s) 2018.","Adaptive learning; big data; enrolment management; predictive analytics; student performance management; targeted student advising","Article","Final","","Scopus","2-s2.0-85046730972"
"Baker R.S.","Baker, Ryan S. (8967971100)","8967971100","Challenges for the Future of Educational Data Mining: The Baker Learning Analytics Prizes","2019","Journal of Educational Data Mining","11","1","","1","17","16","50","10.5281/zenodo.3554745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092031411&doi=10.5281%2fzenodo.3554745&partnerID=40&md5=e6ea8bebb58c0c8a0b73588d13323939","University of Pennsylvania, United States","Baker R.S., University of Pennsylvania, United States","Learning analytics and educational data mining have come a long way in a short time. In this article, a lightly-edited transcript of a keynote talk at the Learning Analytics and Knowledge Conference in 2019, I present a vision for some directions I believe the field should go: towards greater interpretability, generalizability, transferability, applicability, and with clearer evidence for effectiveness. I pose these potential directions as a set of six contests, with concrete criteria for what would represent successful progress in each of these areas: the Baker Learning Analytics Prizes (BLAP). Solving these challenges will bring the field closer to achieving its full potential of using data to benefit learners and transform education for the better. © 2019 International Educational Data Mining Society. All Rights Reserved.","Baker Learning Analytics Prizes; BLAP; educational data mining; learning analytics; model generalizability","Article","Final","","Scopus","2-s2.0-85092031411"
"Kim D.; Yoon M.; Jo I.-H.; Branch R.M.","Kim, Dongho (56119449900); Yoon, Meehyun (56118786600); Jo, Il-Hyun (26641169300); Branch, Robert Maribe (55358271500)","56119449900; 56118786600; 26641169300; 55358271500","Learning analytics to support self-regulated learning in asynchronous online courses: A case study at a women's university in South Korea","2018","Computers and Education","127","","","233","251","18","80","10.1016/j.compedu.2018.08.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054184493&doi=10.1016%2fj.compedu.2018.08.023&partnerID=40&md5=3de7bef4b36aa669b25e7c1e40a3a75a","School of Teaching and Learning, College of Education, University of Florida, Gainesville, 32611, FL, United States; Department of Career and Information Studies, College of Education, University of Georgia, 30602, GA, United States; Department of Educational Technology, College of Education, Ehwa Womans University, Seoul, South Korea","Kim D., School of Teaching and Learning, College of Education, University of Florida, Gainesville, 32611, FL, United States; Yoon M., Department of Career and Information Studies, College of Education, University of Georgia, 30602, GA, United States; Jo I.-H., Department of Educational Technology, College of Education, Ehwa Womans University, Seoul, South Korea; Branch R.M., Department of Career and Information Studies, College of Education, University of Georgia, 30602, GA, United States","With the recognition of the importance of self-regulated learning (SRL) in asynchronous online courses, recent research has explored how SRL strategies impact student learning in these learning environments. However, little has been done to examine different patterns of students with different SRL profiles over time, which precludes providing optimal on-going instructional support for individual students. To address the gap in research, we applied learning analytics to analyze log data from 284 undergraduate students enrolled in an asynchronous online statistics course. Specifically, we identified student SRL profiles, and examined the actual student SRL learning patterns. The k-medoids clustering identified three self-regulated learning profiles: self-regulation, partial self-regulation, and non-self-regulation. Self-regulated students showed more study regularity and help-seeking, than did the other two groups of students. The partially self-regulated students showed high study regularity but inactive help-seeking, while the non-self-regulated students exhibited less study regularity and less frequent help-seeking than the other two groups; their self-reported time management scores were significantly lower. The analysis of each week's log variables using the random forest algorithm revealed that self-regulated students studied course content early before exams and sought help during the general exam period, whereas non-self-regulated students studied the course content during the general exam period. Based on our findings, we provide instructional strategies that can be used to support student SRL. We also discuss implications of this study for advanced learning analytics research, and the design of effective asynchronous online courses. © 2018 Elsevier Ltd","Asynchronous online courses; Education data mining; Instructional strategies; Learning analytics; Self-regulated learning","Article","Final","","Scopus","2-s2.0-85054184493"
"Ochoa X.","Ochoa, Xavier (15050959300)","15050959300","Learning analytics in Latin America present an opportunity not to be missed","2019","Nature human behaviour","3","1","","6","7","1","4","10.1038/s41562-018-0481-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057018975&doi=10.1038%2fs41562-018-0481-6&partnerID=40&md5=f3c31ce062b2684c6ae6776b5c51b374","Administration, Leadership and Technology Department, New York University - Steinhardt, NY, NY, United States","Ochoa X., Administration, Leadership and Technology Department, New York University - Steinhardt, NY, NY, United States","[No abstract available]","","Article","Final","","Scopus","2-s2.0-85057018975"
"Koh K.H.; Fouh E.; Farghally M.F.; Shahin H.; Shaffer C.A.","Koh, Kyu Han (36094565900); Fouh, Eric (55195627200); Farghally, Mohammed F. (56436504100); Shahin, Hossameldin (57194027065); Shaffer, Clifford A. (7005154739)","36094565900; 55195627200; 56436504100; 57194027065; 7005154739","Experience: Learner analytics data quality for an etextbook system","2018","Journal of Data and Information Quality","9","2","10","","","","4","10.1145/3148240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041452166&doi=10.1145%2f3148240&partnerID=40&md5=7574372eea622cb551b47ffd41d80400","Department of Computer Science, California State University, Stanislaus, CA, United States; Department of Computer Science, Lehigh University, Bethlehem, PA, United States; Information Systems Department, Assiut University, Egypt; Department of Computer Science, Virginia Tech, Blacksburg, VA, United States","Koh K.H., Department of Computer Science, California State University, Stanislaus, CA, United States; Fouh E., Department of Computer Science, Lehigh University, Bethlehem, PA, United States; Farghally M.F., Information Systems Department, Assiut University, Egypt; Shahin H., Department of Computer Science, Virginia Tech, Blacksburg, VA, United States; Shaffer C.A., Department of Computer Science, Virginia Tech, Blacksburg, VA, United States","We present lessons learned related to data collection and analysis from 5 years of experience with the eTextbook system OpenDSA. The use of such cyberlearning systems is expanding rapidly in both formal and informal educational settings. Although the precise issues related to any such project are idiosyncratic based on the data collection technology and goals of the project, certain types of data collection problems will be common. We begin by describing the nature of the data transmitted between the student's client machine and the database server, and our initial database schema for storing interaction log data. We describe many problems that we encountered, with the nature of the problems categorized as syntactic-level data collection issues, issues with relating events to users, or issues with tracking users over time. Relating events to users and tracking the time spent on tasks are both prerequisites to converting syntactic-level interaction streams to semantic-level behavior needed for higher-order analysis of the data. Finally, we describe changes made to our database schema that helped to resolve many of the issues that we had encountered. These changes help advance our ultimate goal of encouraging a change from ineffective learning behavior by students to more productive behavior. © 2018 ACM.","Automated assessment; Cyberlearning systems; ETextbooks; Learner analytics","Article","Final","","Scopus","2-s2.0-85041452166"
"Klein C.; Lester J.; Rangwala H.; Johri A.","Klein, Carrie (56455445500); Lester, Jaime (23975966600); Rangwala, Huzefa (9737265900); Johri, Aditya (25655003800)","56455445500; 23975966600; 9737265900; 25655003800","Learning analytics tools in higher education: Adoption at the intersection of institutional commitment and individual action","2019","Review of Higher Education","42","2","","565","593","28","29","10.1353/rhe.2019.0007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059313247&doi=10.1353%2frhe.2019.0007&partnerID=40&md5=a372d6eb1bfded4ca532ee3e3213740d","George Mason University, United States; Department of Computer Science, George Mason University, United States; Information Sciences and Technology Department, George Mason University, United States","Klein C., George Mason University, United States; Lester J., George Mason University, United States; Rangwala H., Department of Computer Science, George Mason University, United States; Johri A., Information Sciences and Technology Department, George Mason University, United States","An instrumental case study was conducted at a large, public research university to understand the organizational barriers, incentives, and opportunities related to adoption of learning analytics tools by faculty members and professional advising staff. Data was culled from focus groups with six faculty and twenty-one advisors and from interview and observation sessions with two faculty and three advisors. Preliminary results indicate that organizational context and commitment, including structures, policies, processes, and leadership impact individual decisions to trust and adopt learning analytics tools. Further, results indicate the importance of a comprehensive, inclusive, and well-communicated implementation plan for maximum adoption by users. © 2018 Association for the Study of Higher Education. All Rights Reserved.","Advising; Early warning systems; Educational technology; Learning analytics; Learning management systems; Organizational decision-making; Organizational systems theory; Organizational technology adoption; Pedagogy; Teaching","Article","Final","","Scopus","2-s2.0-85059313247"
"Meng J.; Jin Y.; Lee Y.-I.; Kim S.","Meng, Juan (55179310800); Jin, Yan (27169729500); Lee, Yen-I (57193138864); Kim, Solyee (57446798400)","55179310800; 27169729500; 57193138864; 57446798400","Can Google Analytics Certification Cultivate PR Students’ Competency in Digital Analytics? A Longitudinal Pedagogical Research","2019","Journalism and Mass Communication Educator","74","4","","388","406","18","2","10.1177/1077695818816916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059464288&doi=10.1177%2f1077695818816916&partnerID=40&md5=03bbcbf0211da9afc058866b6cc51c31","University of Georgia, Athens, United States","Meng J., University of Georgia, Athens, United States; Jin Y., University of Georgia, Athens, United States; Lee Y.-I., University of Georgia, Athens, United States; Kim S., University of Georgia, Athens, United States","This longitudinal pedagogical research investigates students’ perceptions and learning outcomes by integrating web and social analytics–based learning activities (i.e., Google Analytics courses and certification test) into Public Relations Research course design. Results from the pretest before introducing the analytics learning assignment confirmed that students’ knowledge on web and social analytics is low but their desire to learn is high. Results from the posttest after passing the certification test indicated students are eager to have more experience-based learning activities to apply knowledge related to web and social analytics in public relations research and practice. More pedagogical recommendations are discussed. © AEJMC 2018.","experience-based learning; Google Analytics; innovative teaching methods; public relations education; web and social analytics","Article","Final","","Scopus","2-s2.0-85059464288"
"Chen B.; Chang Y.-H.; Ouyang F.; Zhou W.","Chen, Bodong (55286416400); Chang, Yu-Hui (57200518027); Ouyang, Fan (57193380924); Zhou, Wanying (57200521475)","55286416400; 57200518027; 57193380924; 57200521475","Fostering student engagement in online discussion through social learning analytics","2018","Internet and Higher Education","37","","","21","30","9","86","10.1016/j.iheduc.2017.12.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041484794&doi=10.1016%2fj.iheduc.2017.12.002&partnerID=40&md5=83e2f8c6de48fade163820dd65727657","College of Education and Human Development, University of Minnesota, 1954 Buford Ave, Suite 210, St. Paul, 55108, MN, United States; College of Liberal Arts, University of Minnesota, 101 Pleasant St SE, Minneapolis, 55455, MN, United States","Chen B., College of Education and Human Development, University of Minnesota, 1954 Buford Ave, Suite 210, St. Paul, 55108, MN, United States; Chang Y.-H., College of Education and Human Development, University of Minnesota, 1954 Buford Ave, Suite 210, St. Paul, 55108, MN, United States; Ouyang F., College of Education and Human Development, University of Minnesota, 1954 Buford Ave, Suite 210, St. Paul, 55108, MN, United States; Zhou W., College of Liberal Arts, University of Minnesota, 101 Pleasant St SE, Minneapolis, 55455, MN, United States","This paper reports on the initial stage of a design-based research program that aims to devise student-facing social learning analytics in a postsecondary setting. In order to foster student discussion in online classes, we devised an analytics toolkit that turns discussion forum data into information for students to reflect upon. The first pilot study conducted in an online course showed both early promises and challenges with this effort. In particular, students reported usefulness of the toolkit for monitoring posting behaviors and setting participation goals. Content analysis of post content linked tool usage with students' increased attempts to solicit peer responses to their posts and increased reflection on individual participation. However, the tool was not found useful or easy to use by some students, and it did not show benefits in other aspects of online discussion, such as crafting stronger argumentation or reflecting on group processes. These findings highlight the need of social learning analytics to strive for tool simplicity, scaffold students' development in data literacy, and bring analytics and pedagogical designs into close coordination. © 2018 Elsevier Inc.","Design-based research; Higher education; Learning analytics; Online discussion; Social network analysis","Article","Final","","Scopus","2-s2.0-85041484794"
"Xing W.; Popov V.; Zhu G.; Horwitz P.; McIntyre C.","Xing, Wanli (55983407600); Popov, Vitaliy (52564107400); Zhu, Gaoxia (57203974368); Horwitz, Paul (57215451975); McIntyre, Cynthia (57193081274)","55983407600; 52564107400; 57203974368; 57215451975; 57193081274","The effects of transformative and non-transformative discourse on individual performance in collaborative-inquiry learning","2019","Computers in Human Behavior","98","","","267","276","9","13","10.1016/j.chb.2019.04.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065835961&doi=10.1016%2fj.chb.2019.04.022&partnerID=40&md5=b102f2f70c980d6b611f8350c51817b3","Department of Educational Psychology & Leadership, Texas Tech University, Lubbock, 79409, TX, United States; Jacobs Institute for Innovation in Education, University of San Diego, San Diego, 92110, CA, United States; Ontario Institute for Studies in Education, University of Toronto, Toronto, ON M5S 1V6, Canada; The Concord Consortium, Concord, 01742, MA, United States","Xing W., Department of Educational Psychology & Leadership, Texas Tech University, Lubbock, 79409, TX, United States; Popov V., Jacobs Institute for Innovation in Education, University of San Diego, San Diego, 92110, CA, United States; Zhu G., Ontario Institute for Studies in Education, University of Toronto, Toronto, ON M5S 1V6, Canada; Horwitz P., The Concord Consortium, Concord, 01742, MA, United States; McIntyre C., The Concord Consortium, Concord, 01742, MA, United States","The effectiveness of computer-supported collaborative inquiry learning in STEM education is well-documented in the literature. At the same time, research indicates that some students struggle to articulate relevant concepts, to make their reasoning explicit, and to regulate their learning—all of which are necessary for effective collaboration. In this study, 106 college students completed tasks related to Ohm's Law in a simulation-based, collaborative-inquiry learning environment. Using qualitative analysis, multilevel modelling, and data-mining techniques, we investigated the relationship between student engagement in transformative and non-transformative learning processes and learning outcomes. The results revealed that by using the appropriate feature engineering and algorithms, we could build accurate machine-learning models that could automatically identify transformative and non-transformative discussions on a large scale. Additional qualitative and quantitative analyses indicated that when groups engaged in additional interpretation and sustained mutual understanding, their members tended to have statistically better individual-learning outcomes. These analyses also indicated that when groups engaged in additional orientation and proposition generation, their learning outcomes were statistically lower. Approximately two-thirds of the students considered their group work helpful in completing inquiry tasks. Explanations of these results and research recommendations are provided. © 2019","Collaborative-inquiry learning; CSCL; Discourse analysis; Learning analytics; STEM","Article","Final","","Scopus","2-s2.0-85065835961"
"Muljana P.S.; Luo T.","Muljana, Pauline Salim (57208542901); Luo, Tian (47962145900)","57208542901; 47962145900","Factors contributing to student retention in online learning and recommended strategies for improvement: A systematic literature review","2019","Journal of Information Technology Education: Research","18","","","19","57","38","81","10.28945/4182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065063254&doi=10.28945%2f4182&partnerID=40&md5=e6222e7a6de6a2d9520ffaed374521c5","Old Dominion University, Norfolk, VA, United States","Muljana P.S., Old Dominion University, Norfolk, VA, United States; Luo T., Old Dominion University, Norfolk, VA, United States","Aim/Purpose This systematic literature review investigates the underlying factors that influence the gap between the popularity of online learning and its completion rate. The review scope within this paper includes an observation of possible causal aspects within the non-ideal completion rates in online learning environments and an identification of recommended strategies to increase retention rates. Background While online learning is increasingly popular, and the number of online students is steadily growing, student retention rates are significantly lower than those in the traditional environment. Despite the multitude of studies, many institutions are still searching for solutions for this matter. Methodology A systematic literature review was conducted on 40 studies published between 2010 and 2018. We established a set of criteria to guide the selection of eligible articles including topic relevance (aligned with the research questions), empirical studies, and publication time frame. Further steps were performed through a major database searching, abstract screening, full-text analysis, and synthesis process. Contribution This study adds to expanding literature regarding student retention and strategies in online learning environments within the higher education setting. Findings Revealed factors include institutional support, the level difficulty of the programs, promotion of a sense of belonging, facilitation of learning, course design, student behavioral characteristics, and demographic variables along with other personal variables. The recommended strategies identified for improving student retention are early interventions, at-all-times supports for students, effective communication, support for faculty teaching online classes, high-quality instructional feedback and strategies, guidance to foster positive behavioral characteristics, and collaboration among stakeholders to support online students. Recommendations for Practitioners Since factors within the open systems of online learning are interrelated, we recommend a collective effort from multiple stakeholders when addressing retention issues in online learning. Recommendations for Researchers We recommend that fellow scholars consider focusing on each influential factor and recommendation in regard to student retention in online learning environments as synthesized in this study. Findings will further enrich the literature on student retention in online learning environments. Future Research Future research may investigate various data-mining and analytics techniques pertaining to detection and prediction of at-risk students, the efficacy of student support and faculty support programs, and ways to encourage struggling students to adopt effective strategies that potentially engender positive learning behaviors. © Journal of Information Technology Education: Research.","Higher education; Instructional strategies; Online learning; Student retention","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85065063254"
"Berman N.B.; Artino A.R.","Berman, Norman B. (8570615300); Artino, Anthony R. (14065795500)","8570615300; 14065795500","Development and initial validation of an online engagement metric using virtual patients 13 Education 1303 Specialist Studies in Education","2018","BMC Medical Education","18","1","213","","","","20","10.1186/s12909-018-1322-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053512462&doi=10.1186%2fs12909-018-1322-z&partnerID=40&md5=0afd666c83e51a7625b927b6a5be9be7","Dartmouth Geisel School of Medicine, One Rope Ferry Road, Hanover, 03756, NH, United States; Department of Medicine, Uniformed Services University, 4301 Jones Bridge Road, Bethesda, 20814, MD, United States; One Medical Center Drive, Bethesda, 03756, NH, Lebanon","Berman N.B., Dartmouth Geisel School of Medicine, One Rope Ferry Road, Hanover, 03756, NH, United States, One Medical Center Drive, Bethesda, 03756, NH, Lebanon; Artino A.R., Department of Medicine, Uniformed Services University, 4301 Jones Bridge Road, Bethesda, 20814, MD, United States","Background: Considerable evidence in the learning sciences demonstrates the importance of engagement in online learning environments. The purpose of this work was to demonstrate feasibility and to develop and collect initial validity evidence for a computer-generated dynamic engagement score based on student interactions in an online learning environment, in this case virtual patients used for clinical education. Methods: The study involved third-year medical students using virtual patient cases as a standard component of their educational program at more than 125 accredited US and Canadian medical schools. The engagement metric algorithm included four equally weighted components of student interactions with the virtual patient. We developed a self-report measure of motivational, emotional, and cognitive engagement and conducted confirmatory factor analysis to assess the validity of the survey responses. We gathered additional validity evidence through educator reviews, factor analysis of the metric, and correlations between student use of the engagement metric and self-report measures of learner engagement. Results: Confirmatory factor analysis substantiated the hypothesized four-factor structure of the survey scales. Educator reviews demonstrated a high level of agreement with content and scoring cut-points (mean Pearson correlation 0.98; mean intra-class correlation 0.98). Confirmatory factor analysis yielded an acceptable fit to a one-factor model of the engagement score components. Correlations of the engagement score with self-report measures were statistically significant and in the predicted directions. Conclusions: We present initial validity evidence for a dynamic online engagement metric based on student interactions in a virtual patient case. We discuss potential uses of such an engagement metric including better understanding of student interactions with online learning, improving engagement through instructional design and interpretation of learning analytics output. © 2018 The Author(s).","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85053512462"
"Oh H.; Polidan M.","Oh, Hyunjoo (23991313400); Polidan, Mary (57201353474)","23991313400; 57201353474","Retail Consulting Class: Experiential Learning Platform to Develop Future Retail Talents","2018","Journal of Marketing Education","40","1","","31","46","15","13","10.1177/0273475317743015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044435833&doi=10.1177%2f0273475317743015&partnerID=40&md5=0c09cab29d68b81d3779509f136348c0","University of Florida, Gainesville, FL, United States","Oh H., University of Florida, Gainesville, FL, United States; Polidan M., University of Florida, Gainesville, FL, United States","The retail industry is undergoing a significant transformation. Factors such as technological advancement and evolving consumer demands have forced companies to rethink their traditional approaches to retail. Retailers have since embraced data-driven strategies with real-time implementation to stay relevant in this complex, ever-changing industry. This shift has generated a new demand for retail talent. Data-driven companies require workers with demonstrated skills in data analytics, critical thinking, cross-functional teamwork, and communication/leadership. We propose that the experiential learning platform of a retail consulting class is the most effective learning environment for students to develop these skills in a real-world retail context. This article connects the skillsets demanded in the evolving retail landscape to the learning outcomes of a retail consulting course. We describe the structure, elements, and process of the class to allow for adoption and successful implementation by other educational institutions. Then, we illustrate the learning outcomes by highlighting student testimonials and skill evaluations. © 2017, © The Author(s) 2017.","client-based projects; consulting; critical thinking; experiential learning; retail education","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85044435833"
"Cui Y.; Wise A.F.; Allen K.L.","Cui, Yi (56597233100); Wise, Alyssa Friend (8301478000); Allen, Kenneth L. (7202632141)","56597233100; 8301478000; 7202632141","Developing reflection analytics for health professions education: A multi-dimensional framework to align critical concepts with data features","2019","Computers in Human Behavior","100","","","305","324","19","21","10.1016/j.chb.2019.02.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063761918&doi=10.1016%2fj.chb.2019.02.019&partnerID=40&md5=dd38a157a1398e1fd25f6d0dc8b6ba03","NYU-Learning Analytics Research Network (NYU-LEARN), New York University, New York, 10003, NY, United States; College of Dentistry, New York University, New York, 10010, NY, United States","Cui Y., NYU-Learning Analytics Research Network (NYU-LEARN), New York University, New York, 10003, NY, United States; Wise A.F., NYU-Learning Analytics Research Network (NYU-LEARN), New York University, New York, 10003, NY, United States; Allen K.L., College of Dentistry, New York University, New York, 10010, NY, United States","Reflection is a key activity in self-regulated learning (SRL) and a critical part of health professions education that supports the development of effective lifelong-learning health professionals. Despite widespread use and plentiful theoretical models, empirical understanding of and support for reflection in health professions education remains limited due to simple manual assessment and rare feedback to students. Recent moves to digital reflection practices offer opportunities to computationally study and support reflection as a part of SRL. The critical task in such an endeavor, and the goal of this paper, is to align high-level reflection qualities that are valued conceptually with low-level features in the data that are possible to extract computationally. This paper approaches this goal by (a) developing a unified framework for conceptualizing reflection analytics in health professions education and (b) empirically examining potential data features through which these elements can be assessed. Synthesizing the prior literature yields a conceptual framework for health professions reflection comprised of six elements: Description, Analysis, Feelings, Perspective, Evaluation, and Outcome. These elements then serve as the conceptual grounding for the computational analysis in which 27 dental students’ reflections (in six reflective statement types) over the course of 4 years were examined using selected LIWC (Linguistic Inquiry and Word Count) indices. Variation in elements of reflection across students, years, and reflection-types supports use of the multi-dimensional analysis framework to (a) increase precision of research claims; (b) evaluate whether reflection activities are engaged in as intended; and (c) diagnose aspects of reflection in which specific students need support. Implications for the development of health professions reflection analytics that can contribute to SRL and promising areas for future research are discussed. © 2019 Elsevier Ltd","Dental education; Health professions education; Learning analytics; Natural language processing; Professional education; Reflection","Article","Final","","Scopus","2-s2.0-85063761918"
